2001,"171 DEVOE STREET                         , Brooklyn, NY, 11211",Match,Exact,"171 DEVOE ST, BROOKLYN, NY, 11211","-73.9436,40.713863",59077190,L,36,47,49700,2004
2002,"1511 56TH STREET                         , Brooklyn, NY, 11219",Match,Exact,"1511 56TH ST, BROOKLYN, NY, 11219","-73.991425,40.62823",59080270,L,36,47,24000,1000
2003,"1202 AVENUE I                            , Brooklyn, NY, 11230",Match,Exact,"1202 AVE I, BROOKLYN, NY, 11230","-73.96454,40.62727",59081228,R,36,47,53000,3003
2004,"2051 EAST 16TH   STREET                  , Brooklyn, NY, 11229",Match,Exact,"2051 E 16TH ST, BROOKLYN, NY, 11229","-73.95568,40.600048",59091488,L,36,47,58000,1001
2005,"2156 72ND   STREET                       , Brooklyn, NY, 11204",Match,Exact,"2156 72ND ST, BROOKLYN, NY, 11204","-73.986534,40.610477",59088531,R,36,47,26600,1001
2006,"1861 WEST 3RD STREET                     , Brooklyn, NY, 11223",Match,Exact,"1861 W 3RD ST, BROOKLYN, NY, 11223","-73.97569,40.602337",59089555,L,36,47,41200,2004
2007,"6631 DURYEA COURT                        , Brooklyn, NY, 11219",Match,Exact,"6631 DURYEA CT, BROOKLYN, NY, 11219","-73.9968,40.621693",59088010,L,36,47,25000,2005
2008,"548 KOSCIUSZKO STREET                    , Brooklyn, NY, 11221",Match,Exact,"548 KOSCIUSZKO ST, BROOKLYN, NY, 11221","-73.93201,40.692844",59082583,R,36,47,28900,2000
2009,"243 RUTLAND ROAD                         , Brooklyn, NY, 11225",Match,Exact,"243 RUTLAND RD, BROOKLYN, NY, 11225","-73.95247,40.65929",59079562,L,36,47,80000,3001
2010,"169 SCHAEFER STREET                      , Brooklyn, NY, 11207",Match,Exact,"169 SCHAEFER ST, BROOKLYN, NY, 11207","-73.90832,40.689186",59083231,L,36,47,41300,1001
2011,"415 58TH   STREET                        , Brooklyn, NY, 11220",Match,Exact,"415 58TH ST, BROOKLYN, NY, 11220","-74.01678,40.64172",59094369,L,36,47,7400,1001
2012,"186 KENSINGTON STREET                    , Brooklyn, NY, 11235",Match,Exact,"186 KENSINGTON ST, BROOKLYN, NY, 11235","-73.94176,40.57861",59092171,R,36,47,62000,2004
2013,"835 WILLOUGHBY AVENUE                    , Brooklyn, NY, 11206",Match,Exact,"835 WILLOUGHBY AVE, BROOKLYN, NY, 11206","-73.93496,40.695515",642653893,L,36,47,28700,1006
2014,"4718 FORT HAMILTON PARKWA                , Brooklyn, NY, 11219",Match,Non_Exact,"4718 FORT HAMILTON PKWY, BROOKLYN, NY, 11219","-73.9964,40.639225",59080162,R,36,47,11400,1002
2015,"11 WHITMAN DRIVE                         , Brooklyn, NY, 11234",Match,Exact,"11 WHITMAN DR, BROOKLYN, NY, 11234","-73.906136,40.612488",59092793,L,36,47,70201,1003
2016,"452 79TH STREET                          , Brooklyn, NY, 11209",Match,Exact,"452 79TH ST, BROOKLYN, NY, 11209","-74.025,40.62718",59094277,R,36,47,13600,3001
2017,"146 LANGHAM STREET                       , Brooklyn, NY, 11235",Match,Exact,"146 LANGHAM ST, BROOKLYN, NY, 11235","-73.94101,40.57958",59092181,R,36,47,62000,2003
2018,"121 PULASKI STREET                       , Brooklyn, NY, 11206",Match,Exact,"121 PULASKI ST, BROOKLYN, NY, 11206","-73.94648,40.69269",59078764,L,36,47,26100,5001
2019,"2135 84TH   STREET                       , Brooklyn, NY, 11214",Match,Exact,"2135 84TH ST, BROOKLYN, NY, 11214","-73.99402,40.603943",59088485,L,36,47,29000,2000
2020,"113 WEIRFIELD ST                         , Brooklyn, NY, 11221",Match,Exact,"113 WEIRFIELD ST, BROOKLYN, NY, 11221","-73.913315,40.688866",642654142,L,36,47,39900,1002
2021,"288 MIDWOOD STREET                       , Brooklyn, NY, 11225",Match,Exact,"288 MIDWOOD ST, BROOKLYN, NY, 11225","-73.95111,40.66008",59079560,R,36,47,80000,3001
2022,"1737 66TH   STREET                       , Brooklyn, NY, 11204",Match,Exact,"1737 66TH ST, BROOKLYN, NY, 11204","-73.992195,40.619373",59088339,L,36,47,25200,2000
2023,"8913 RIDGE BOULEVARD                     , Brooklyn, NY, 11209",Match,Exact,"8913 RIDGE BLVD, BROOKLYN, NY, 11209","-74.034645,40.621876",59087445,L,36,47,6000,2002
2024,"1210 JEFFERSON AVENUE                    , Brooklyn, NY, 11221",Match,Exact,"1210 JEFFERSON AVE, BROOKLYN, NY, 11221","-73.91367,40.690872",59083023,R,36,47,41500,2003
2025,"278 AMHERST STREET                       , Brooklyn, NY, 11235",Match,Exact,"278 AMHERST ST, BROOKLYN, NY, 11235","-73.95159,40.57525",59099453,R,36,47,61600,1013
2026,"1511 ALBEMARLE ROAD                      , Brooklyn, NY, 11226",Match,Exact,"1511 ALBEMARLE RD, BROOKLYN, NY, 11226","-73.96531,40.646717",59080884,L,36,47,152200,3000
2027,"746 LEXINGTON AVENUE                     , Brooklyn, NY, 11221",Match,Exact,"746 LEXINGTON AVE, BROOKLYN, NY, 11221","-73.92937,40.690155",59082750,R,36,47,38700,3001
2028,"408 DECATUR STREET                       , Brooklyn, NY, 11233",Match,Exact,"408 DECATUR ST, BROOKLYN, NY, 11233","-73.92682,40.6822",59082801,R,36,47,38100,4001
2029,"421 HART STREET                          , Brooklyn, NY, 11221",Match,Exact,"421 HART ST, BROOKLYN, NY, 11221","-73.93331,40.694958",59082562,L,36,47,28700,2000
2030,"6812 FORT HAMILTON PARKWA                , Brooklyn, NY, 11219",Match,Non_Exact,"6812 FORT HAMILTON PKWY, BROOKLYN, NY, 11219","-74.011566,40.629078",59094669,R,36,47,12801,1006
2031,"5104 OCEAN VIEW AVENUE                   , Brooklyn, NY, 11224",No_Match,,,,,,,,,
2032,"946 4TH AVENUE                           , Brooklyn, NY, 11232",Match,Exact,"946 4TH AVE, BROOKLYN, NY, 11232","-74.004135,40.65459",59094001,R,36,47,8400,3002
2033,"463 54TH STREET                          , Brooklyn, NY, 11220",Match,Exact,"463 54TH ST, BROOKLYN, NY, 11220","-74.01352,40.6434",59094419,L,36,47,7600,1002
2034,"1404 HANCOCK STREET                      , Brooklyn, NY, 11237",Match,Exact,"1404 HANCOCK ST, BROOKLYN, NY, 11237","-73.90792,40.695534",59083087,R,36,47,43900,1009
2035,"1230 HANCOCK STREET                      , Brooklyn, NY, 11221",Match,Exact,"1230 HANCOCK ST, BROOKLYN, NY, 11221","-73.9113,40.692097",59083073,R,36,47,41300,3000
2036,"1549 50TH STREET                         , Brooklyn, NY, 11219",Match,Exact,"1549 50TH ST, BROOKLYN, NY, 11219","-73.98721,40.631157",59080328,L,36,47,23600,1000
2037,"925 45TH   STREET                        , Brooklyn, NY, 11219",Match,Exact,"925 45TH ST, BROOKLYN, NY, 11219","-73.99796,40.642212",59079997,L,36,47,11200,3000
2038,"558 52ND   STREET                        , Brooklyn, NY, 11220",Match,Exact,"558 52ND ST, BROOKLYN, NY, 11220","-74.010216,40.643215",59094443,R,36,47,10000,4000
2039,"1518 86 STREET                           , Brooklyn, NY, 11228",Match,Exact,"1518 86TH ST, BROOKLYN, NY, 11228","-74.009056,40.611122",59087854,R,36,47,17200,1002
2040,"2029 EAST 1ST STREET                     , Brooklyn, NY, 11223",Match,Exact,"2029 E 1ST ST, BROOKLYN, NY, 11223","-73.97084,40.598812",59090724,L,36,47,39600,2000
2041,"434 QUINCY STREET                        , Brooklyn, NY, 11221",Match,Exact,"434 QUINCY ST, BROOKLYN, NY, 11221","-73.94344,40.687786",59079186,R,36,47,26500,2000
2042,"923 63RD   STREET                        , Brooklyn, NY, 11219",Match,Exact,"923 63RD ST, BROOKLYN, NY, 11219","-74.00857,40.632137",59094658,L,36,47,12000,1012
2043,"1095 PARK PLACE                          , Brooklyn, NY, 11213",Match,Exact,"1095 PARK PL, BROOKLYN, NY, 11213","-73.94097,40.672928",59079669,L,36,47,34300,3001
2044,"8418 18TH AVENUE                         , Brooklyn, NY, 11214",Match,Exact,"8418 18TH AVE, BROOKLYN, NY, 11214","-74.00145,40.60824",59088198,R,36,47,17800,1005
2045,"135 TEHAMA STREET                        , Brooklyn, NY, 11218",Match,Exact,"135 TEHAMA ST, BROOKLYN, NY, 11218","-73.98469,40.64353",59080148,L,36,47,49600,3004
2046,"1634 78TH STREET                         , Brooklyn, NY, 11214",Match,Exact,"1634 78TH ST, BROOKLYN, NY, 11214","-74.001884,40.614143",59088023,R,36,47,18200,1002
2047,"1431 EAST 22ND STREET                    , Brooklyn, NY, 11210",Match,Exact,"1431 E 22ND ST, BROOKLYN, NY, 11210","-73.952774,40.617214",59089982,L,36,47,75800,1002
2048,"3379 BEDFORD AVENUE                      , Brooklyn, NY, 11210",Match,Exact,"3379 BEDFORD AVE, BROOKLYN, NY, 11210","-73.9504,40.619884",59090010,L,36,47,75400,2001
